"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"RB1","1","4","1.1","0.5","0"
"2",1,"Christian McCaffrey",CAR,"RB2","1","15","3.0","1.7","0"
"3",1,"Derrick Henry",TEN,"RB3","1","12","4.0","2.1","+1"
"4",1,"Dalvin Cook",MIN,"RB4","2","13","4.4","1.9","+4"
"5",1,"Austin Ekeler",LAC,"RB5","2","13","4.8","2.0","-2"
"6",2,"Joe Mixon",CIN,"RB6","2","15","7.0","2.7","+4"
"7",2,"Najee Harris",PIT,"RB7","3","30","8.8","4.9","0"
"8",2,"Justin Jefferson",MIN,"WR1","3","16","10.6","2.8","-2"
"9",2,"Nick Chubb",CLE,"RB8","5","33","11.7","6.0","+7"
"10",2,"Cooper Kupp",LAR,"WR2","3","20","11.7","2.6","-5"
"11",2,"Ja'Marr Chase",CIN,"WR3","4","21","12.5","2.5","-2"
"12",3,"Mark Andrews",BAL,"TE1","11","46","14.6","6.2","+13"
"13",3,"Alvin Kamara",NO,"RB9","3","59","14.7","8.1","+2"
"14",3,"Saquon Barkley",NYG,"RB10","4","45","15.7","7.2","+4"
"15",3,"D'Andre Swift",DET,"RB11","4","47","16.0","8.6","-4"
"16",3,"Travis Kelce",KC,"TE2","11","32","16.9","3.5","-2"
"17",3,"Stefon Diggs",BUF,"WR4","9","31","17.9","3.5","-4"
"18",3,"Davante Adams",LV,"WR5","9","31","18.3","3.6","-6"
"19",3,"Deebo Samuel",SF,"WR6","11","31","19.7","4.2","0"
"20",3,"CeeDee Lamb",DAL,"WR7","11","38","20.4","3.8","0"
"21",3,"Aaron Jones",GB,"RB12","4","42","20.7","7.6","0"
"22",3,"Javonte Williams",DEN,"RB13","5","57","20.7","8.8","-5"
"23",3,"Leonard Fournette",TB,"RB14","6","51","21.4","8.4","+1"
"24",4,"Mike Evans",TB,"WR8","15","44","24.4","4.4","+3"
"25",4,"Tyreek Hill",MIA,"WR9","17","43","26.1","4.7","-3"
"26",4,"James Conner",ARI,"RB15","9","59","26.7","10.2","+3"
"27",4,"A.J. Brown",PHI,"WR10","17","57","27.9","6.0","-1"
"28",4,"Kyle Pitts",ATL,"TE3","11","69","29.5","10.3","+3"
"29",4,"Tee Higgins",CIN,"WR11","20","56","29.6","5.0","+4"
"30",4,"Ezekiel Elliott",DAL,"RB16","9","71","32.0","10.6","-2"
"31",4,"Michael Pittman Jr.",IND,"WR12","23","81","32.8","7.0","+4"
"32",4,"Josh Allen",BUF,"QB1","21","39","34.0","2.1","-9"
"33",4,"Keenan Allen",LAC,"WR13","24","64","36.2","7.2","-3"
"34",4,"DJ Moore",CAR,"WR14","23","73","36.5","7.3","+8"
"35",4,"Mike Williams",LAC,"WR15","23","73","36.9","7.8","+11"
"36",5,"Courtland Sutton",DEN,"WR16","23","72","37.7","9.3","+15"
"37",5,"Breece Hall",NYJ,"RB17","13","93","40.8","13.2","0"
"38",5,"Cam Akers",LAR,"RB18","13","93","41.7","14.2","0"
"39",5,"Terry McLaurin",WAS,"WR17","31","75","43.0","7.6","+5"
"40",5,"Justin Herbert",LAC,"QB2","34","70","46.0","9.4","-4"
"41",5,"David Montgomery",CHI,"RB19","15","84","46.2","13.8","-7"
"42",5,"Elijah Mitchell",SF,"RB20","21","85","47.2","12.7","+6"
"43",5,"Travis Etienne Jr.",JAC,"RB21","21","98","47.6","15.5","-4"
"44",5,"DK Metcalf",SEA,"WR18","31","122","47.7","10.7","+5"
"45",5,"Jaylen Waddle",MIA,"WR19","32","90","47.8","11.3","0"
"46",5,"J.K. Dobbins",BAL,"RB22","27","89","48.4","13.6","+7"
"47",5,"George Kittle",SF,"TE4","25","78","48.8","10.2","-7"
"48",5,"Brandin Cooks",HOU,"WR20","32","80","49.1","10.8","+7"
"49",5,"Diontae Johnson",PIT,"WR21","29","79","48.7","11.6","-8"
"50",5,"Patrick Mahomes II",KC,"QB3","31","87","52.4","10.3","-18"
"51",5,"Gabriel Davis",BUF,"WR22","32","137","52.7","15.6","+15"
"52",5,"Darren Waller",LV,"TE5","25","92","53.5","10.4","-5"
"53",5,"AJ Dillon",GB,"RB23","30","84","54.3","11.9","-1"
"54",5,"Allen Robinson II",LAR,"WR23","31","102","54.5","14.1","+8"
"55",6,"Lamar Jackson",BAL,"QB4","32","87","55.3","9.4","-5"
"56",6,"Marquise Brown",ARI,"WR24","32","102","56.4","13.6","+3"
"57",6,"Josh Jacobs",LV,"RB24","19","98","58.5","15.0","-14"
"58",6,"Darnell Mooney",CHI,"WR25","39","101","61.1","12.0","+2"
"59",6,"Jerry Jeudy",DEN,"WR26","39","113","61.2","12.2","+8"
"60",6,"Dalton Schultz",DAL,"TE6","18","131","64.4","16.3","+3"
"61",6,"Kyler Murray",ARI,"QB5","38","95","64.5","10.5","-4"
"62",6,"Rashod Bateman",BAL,"WR27","37","130","65.2","13.9","+23"
"63",6,"Jalen Hurts",PHI,"QB6","38","103","65.4","10.4","-2"
"64",6,"Damien Harris",NE,"RB25","25","110","66.5","16.5","+6"
"65",6,"Elijah Moore",NYJ,"WR28","35","139","67.0","15.5","+13"
"66",6,"Amari Cooper",CLE,"WR29","41","101","67.0","14.3","-2"
"67",6,"Chris Godwin",TB,"WR30","33","108","67.9","15.9","-11"
"68",6,"Michael Thomas",NO,"WR31","32","210","72.6","21.0","-3"
"69",6,"JuJu Smith-Schuster",KC,"WR32","31","138","73.5","15.8","+6"
"70",6,"Rashaad Penny",SEA,"RB26","37","130","74.2","17.7","+9"
"71",6,"Miles Sanders",PHI,"RB27","40","112","74.4","14.3","+5"
"72",6,"Amon-Ra St. Brown",DET,"WR33","41","107","74.6","12.3","-18"
"73",6,"Dallas Goedert",PHI,"TE7","52","127","74.7","13.0","+10"
"74",7,"Clyde Edwards-Helaire",KC,"RB28","44","112","75.2","14.3","-5"
"75",7,"Joe Burrow",CIN,"QB7","42","109","75.5","13.5","-17"
"76",7,"Antonio Gibson",WAS,"RB29","30","146","76.9","25.1","-8"
"77",7,"Adam Thielen",MIN,"WR34","55","137","77.6","13.7","-5"
"78",7,"Brandon Aiyuk",SF,"WR35","45","116","77.9","15.7","+13"
"79",7,"T.J. Hockenson",DET,"TE8","46","116","79.6","13.9","-8"
"80",7,"Chase Edmonds",MIA,"RB30","30","132","80.1","17.2","+4"
"81",7,"DeVonta Smith",PHI,"WR36","50","184","81.0","16.7","+7"
"82",7,"Allen Lazard",GB,"WR37","48","155","82.0","21.5","+22"
"83",7,"Tom Brady",TB,"QB8","47","116","83.2","13.4","+4"
"84",7,"Russell Wilson",DEN,"QB9","56","116","83.8","12.0","-2"
"85",7,"Rhamondre Stevenson",NE,"RB31","30","120","86.1","17.3","+4"
"86",7,"Tony Pollard",DAL,"RB32","51","115","86.8","13.8","-6"
"87",7,"Tyler Lockett",SEA,"WR38","48","153","87.5","14.8","+7"
"88",7,"Kareem Hunt",CLE,"RB33","47","132","87.7","13.8","-7"
"89",7,"Dak Prescott",DAL,"QB10","61","117","89.0","11.9","-15"
"90",7,"Devin Singletary",BUF,"RB34","47","123","89.7","14.6","-17"
"91",7,"Drake London",ATL,"WR39","52","169","88.2","17.5","+2"
"92",7,"Dameon Pierce",HOU,"RB35","41","177","93.1","26.7","+7"
"93",7,"Dawson Knox",BUF,"TE9","57","180","93.4","20.3","+9"
"94",7,"DeAndre Hopkins",ARI,"WR40","32","169","94.0","19.5","-2"
