"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"95",7,"Trey Lance",SF,"QB11","61","131","94.2","16.6","+8"
"96",7,"Christian Kirk",JAC,"WR41","65","155","95.3","16.2","+4"
"97",7,"Melvin Gordon III",DEN,"RB36","59","120","95.5","12.7","+1"
"98",7,"Cordarrelle Patterson",ATL,"RB37","30","146","95.9","19.2","-21"
"99",7,"Zach Ertz",ARI,"TE10","53","144","96.1","16.9","-4"
"100",7,"Hunter Renfrow",LV,"WR42","67","160","97.0","16.5","-14"
"101",7,"Robert Woods",TEN,"WR43","52","223","100.4","22.4","0"
"102",8,"Matthew Stafford",LAR,"QB12","77","125","101.5","9.2","-6"
"103",8,"Aaron Rodgers",GB,"QB13","68","118","101.8","11.7","-6"
"104",8,"Ken Walker III",SEA,"RB38","41","146","101.8","18.4","-14"
"105",8,"Kirk Cousins",MIN,"QB14","77","127","110.3","9.5","+6"
"106",8,"Kadarius Toney",NYG,"WR44","73","206","110.7","21.9","+7"
"107",8,"Derek Carr",LV,"QB15","77","162","111.3","10.6","+3"
"108",8,"Chris Olave",NO,"WR45","62","206","108.2","23.4","-2"
"109",8,"Treylon Burks",TEN,"WR46","50","214","111.2","31.0","-4"
"110",8,"Chase Claypool",PIT,"WR47","79","194","114.3","21.5","+2"
"111",8,"James Cook",BUF,"RB39","77","186","117.1","18.1","-3"
"112",8,"Cole Kmet",CHI,"TE11","69","180","118.0","18.4","+5"
"113",8,"Pat Freiermuth",PIT,"TE12","78","161","119.3","16.2","+5"
"114",8,"Darrell Henderson Jr.",LAR,"RB40","71","185","119.5","16.5","+2"
"115",8,"Hunter Henry",NE,"TE13","92","191","119.7","20.9","+42"
"116",8,"Michael Carter",NYJ,"RB41","66","177","122.1","18.6","-9"
"117",8,"James Robinson",JAC,"RB42","46","195","124.0","24.6","-8"
"118",8,"Tua Tagovailoa",MIA,"QB16","95","177","124.1","14.4","+7"
"119",8,"Garrett Wilson",NYJ,"WR48","86","263","126.4","28.4","+2"
"120",8,"Justin Fields",CHI,"QB17","91","178","128.7","17.4","+7"
"121",8,"Skyy Moore",KC,"WR49","75","301","131.6","33.4","+8"
"122",8,"Trevor Lawrence",JAC,"QB18","78","186","131.8","17.8","+19"
"123",8,"Alexander Mattison",MIN,"RB43","86","182","132.3","17.2","-9"
"124",8,"Tyler Boyd",CIN,"WR50","96","208","130.5","20.9","-2"
"125",8,"Marquez Valdes-Scantling",KC,"WR51","50","256","133.2","31.1","+13"
"126",8,"Mike Gesicki",MIA,"TE14","85","273","135.9","26.0","0"
"127",9,"Kenneth Gainwell",PHI,"RB44","85","206","137.2","23.3","-4"
"128",9,"Russell Gage",TB,"WR52","90","262","137.4","30.9","-9"
"129",9,"Irv Smith Jr.",MIN,"TE15","94","273","138.3","26.9","+5"
"130",9,"David Njoku",CLE,"TE16","92","282","142.8","32.3","+29"
"131",9,"Albert Okwuegbunam",DEN,"TE17","92","246","138.9","25.8","+16"
"132",9,"Brian Robinson Jr.",WAS,"RB45","63","339","135.8","43.4","-17"
"133",9,"Jameis Winston",NO,"QB19","99","256","144.7","22.0","+27"
"134",9,"Jamaal Williams",DET,"RB46","89","220","144.7","22.7","+9"
"135",9,"Khalil Herbert",CHI,"RB47","92","235","145.1","26.6","-2"
"136",9,"Michael Gallup",DAL,"WR53","75","242","145.1","37.3","+8"
"137",9,"Jakobi Meyers",NE,"WR54","102","231","145.4","22.4","-6"
"138",9,"Matt Ryan",IND,"QB20","103","233","144.6","20.9","+12"
"139",9,"Nyheim Hines",IND,"RB48","99","188","147.2","20.4","-15"
"140",9,"DeVante Parker",NE,"WR55","90","247","145.8","32.5","+8"
"141",9,"Tyler Allgeier",ATL,"RB49","98","277","146.4","34.2","-2"
"142",9,"DJ Chark Jr.",DET,"WR56","99","265","149.8","27.8","-10"
"143",9,"Raheem Mostert",MIA,"RB50","83","275","150.9","28.7","-3"
"144",9,"Noah Fant",SEA,"TE18","94","294","153.1","28.8","+21"
"145",9,"Robert Tonyan",GB,"TE19","69","267","153.7","32.2","+26"
"146",9,"Tyler Higbee",LAR,"TE20","106","203","156.5","19.1","+61"
"147",9,"Gerald Everett",LAC,"TE21","121","287","156.8","29.7","+35"
"148",9,"George Pickens",PIT,"WR57","82","325","155.5","47.2","-18"
"149",9,"Kenny Golladay",NYG,"WR58","90","268","157.7","36.9","-4"
"150",9,"Jarvis Landry",NO,"WR59","107","261","156.3","26.6","-13"
"151",9,"Ryan Tannehill",TEN,"QB21","116","284","156.7","23.7","+4"
"152",9,"Rachaad White",TB,"RB51","92","325","158.1","38.9","-24"
"153",9,"Rondale Moore",ARI,"WR60","97","229","160.3","28.4","-18"
"154",9,"Isaiah Spiller",LAC,"RB52","110","316","161.9","37.3","-34"
"155",9,"Buffalo Bills",BUF,"DST1","138","307","145.8","17.4","+18"
"156",9,"Julio Jones",TB,"WR61","82","315","156.4","42.8","-5"
"157",9,"Daniel Jones",NYG,"QB22","117","320","164.3","31.3","+59"
"158",9,"Tampa Bay Buccaneers",TB,"DST2","139","219","150.4","14.5","+28"
"159",9,"Mac Jones",NE,"QB23","118","284","165.4","24.6","+5"
"160",9,"Jahan Dotson",WAS,"WR62","102","285","167.7","36.4","-14"
"161",9,"Evan Engram",JAC,"TE22","119","305","167.9","31.9","+24"
"162",9,"J.D. McKissic",WAS,"RB53","109","312","174.8","27.9","-26"
"163",10,"Nico Collins",HOU,"WR63","90","261","172.5","38.5","+33"
"164",10,"Austin Hooper",TEN,"TE23","121","319","176.4","35.0","+76"
"165",10,"San Francisco 49ers",SF,"DST3","140","284","159.5","20.9","+43"
"166",10,"Zamir White",LV,"RB54","88","328","178.6","41.2","+3"
"167",10,"Corey Davis",NYJ,"WR64","113","275","178.4","29.1","+17"
"168",10,"Marlon Mack",HOU,"RB55","108","296","180.7","38.2","-5"
"169",10,"Mark Ingram II",NO,"RB56","113","287","182.5","34.1","+3"
"170",10,"Carson Wentz",WAS,"QB24","118","263","182.5","28.5","+18"
"171",10,"Jared Goff",DET,"QB25","118","275","184.1","30.5","+28"
"172",10,"Gus Edwards",BAL,"RB57","104","329","181.0","44.0","+2"
"173",10,"Indianapolis Colts",IND,"DST4","140","235","169.3","19.6","+28"
"174",10,"Logan Thomas",WAS,"TE24","92","294","188.7","41.0","+46"
"175",10,"Joshua Palmer",LAC,"WR65","113","271","187.0","33.1","-5"
"176",10,"Justin Tucker",BAL,"K1","167","239","174.7","11.8","-34"
"177",10,"Mecole Hardman",KC,"WR66","99","340","189.5","37.0","-21"
"178",10,"Sony Michel",MIA,"RB58","110","277","177.3","37.2","+19"
"179",10,"Zach Wilson",NYJ,"QB26","117","336","188.2","39.8","+19"
"180",10,"Van Jefferson",LAR,"WR67","124","290","189.8","30.6","+22"
"181",10,"New Orleans Saints",NO,"DST5","145","230","176.1","19.5","+24"
"182",10,"K.J. Osborn",MIN,"WR68","113","297","190.5","34.0","+5"
"183",10,"Denver Broncos",DEN,"DST6","145","314","176.4","24.4","+43"
"184",10,"Robbie Anderson",CAR,"WR69","124","290","194.3","30.3","+5"
"185",10,"Los Angeles Rams",LAR,"DST7","140","279","179.6","26.6","+33"
"186",10,"D'Onta Foreman",CAR,"RB59","115","321","186.9","30.3","-9"
"187",10,"New England Patriots",NE,"DST8","145","314","180.1","26.7","+17"
"188",10,"Hayden Hurst",CIN,"TE25","124","303","189.4","37.4","+39"
"189",10,"Jameson Williams",DET,"WR70","90","298","193.3","33.4","-35"
"190",10,"Davis Mills",HOU,"QB27","115","284","197.4","31.3","-12"
"191",10,"Tyler Bass",BUF,"K2","171","224","185.6","12.2","-10"
"192",10,"Christian Watson",GB,"WR71","102","304","200.3","39.4","-25"
"193",10,"Baker Mayfield",CAR,"QB28","122","320","200.4","44.8","-18"
"194",10,"Darrel Williams",ARI,"RB60","115","353","198.2","49.6","-33"
"195",10,"Marvin Jones Jr.",JAC,"WR72","122","333","201.7","32.6","+8"
"196",10,"Jalen Tolbert",DAL,"WR73","97","332","193.7","58.0","-47"
"197",10,"Matt Gay",LAR,"K3","171","288","195.0","18.5","-21"
"198",10,"Isiah Pacheco",KC,"RB61","98","365","172.1","57.9","-7"
"199",10,"Ronald Jones II",KC,"RB62","93","359","199.3","68.6","-37"
"200",10,"Dallas Cowboys",DAL,"DST9","145","278","197.8","22.6","-8"
"201",10,"Evan McPherson",CIN,"K4","171","304","201.6","27.7","-43"
"202",10,"Los Angeles Chargers",LAC,"DST10","145","307","198.4","25.0","+32"
"203",10,"KJ Hamler",DEN,"WR74","128","335","214.2","38.8","+26"
"204",10,"Daniel Carlson",LV,"K5","173","320","205.0","22.2","-51"
"205",10,"Boston Scott",PHI,"RB63","134","313","203.4","33.0","+44"
"206",11,"Donovan Peoples-Jones",CLE,"WR75","141","297","213.4","23.1","+15"
"207",11,"Curtis Samuel",WAS,"WR76","122","291","213.2","26.8","+5"
"208",11,"Brevin Jordan",HOU,"TE26","108","330","210.6","43.1","+53"
"209",11,"Green Bay Packers",GB,"DST11","152","250","205.8","19.4","+59"
"210",11,"Miami Dolphins",MIA,"DST12","152","278","205.9","20.6","+1"
"211",11,"Wan'Dale Robinson",NYG,"WR77","137","357","215.7","40.5","-21"
"212",11,"Parris Campbell",IND,"WR78","146","301","221.8","30.0","+11"
"213",11,"Alec Pierce",IND,"WR79","107","287","213.9","41.1","-34"
"214",11,"Kendrick Bourne",NE,"WR80","137","311","216.1","30.1","+38"
"215",11,"Tyrion Davis-Price",SF,"RB64","119","337","210.2","50.0","-22"
"216",11,"Kansas City Chiefs",KC,"DST13","161","326","214.1","31.1","+28"
"217",11,"Marcus Mariota",ATL,"QB29","125","367","225.2","44.4","+11"
"218",11,"Harrison Butker",KC,"K6","171","334","216.4","22.0","-52"
"219",11,"Isaiah McKenzie",BUF,"WR81","102","340","218.7","58.7","-51"
"220",11,"Jamison Crowder",BUF,"WR82","143","306","224.7","29.5","+19"
"221",11,"Ryan Succop",TB,"K7","183","335","217.8","20.3","+24"
"222",11,"Matt Prater",ARI,"K8","192","287","223.3","12.8","-27"
"223",11,"Romeo Doubs",GB,"WR83","88","378","200.1","60.9","-71"
"224",11,"Baltimore Ravens",BAL,"DST14","145","318","223.9","35.9","+36"
"225",11,"Cleveland Browns",CLE,"DST15","159","322","220.5","23.4","+64"
"226",11,"Mo Alie-Cox",IND,"TE27","136","299","223.6","44.2","+49"
"227",11,"A.J. Green",ARI,"WR84","129","343","230.2","31.5","+46"
"228",11,"Pittsburgh Steelers",PIT,"DST16","164","314","229.5","29.1","+36"
"229",11,"Philadelphia Eagles",PHI,"DST17","159","278","231.8","24.9","+68"
"230",11,"Chuba Hubbard",CAR,"RB65","144","364","229.1","47.5","-16"
"231",11,"Samaje Perine",CIN,"RB66","149","364","233.6","36.5","+31"
"232",11,"Jonnu Smith",NE,"TE28","153","341","236.7","34.1","+27"
"233",11,"D'Ernest Johnson",CLE,"RB67","156","388","229.0","38.1","-2"
"234",11,"Jason Sanders",MIA,"K9","192","305","234.1","21.2","+80"
"235",11,"Rodrigo Blankenship",IND,"K10","186","292","233.4","15.9","-20"
"236",11,"David Bell",CLE,"WR85","155","330","233.9","35.2","+2"
"237",11,"Sterling Shepard",NYG,"WR86","157","371","237.9","38.9","+53"
"238",11,"Jeff Wilson Jr.",SF,"RB68","144","365","236.6","42.5","-44"
"239",11,"Younghoe Koo",ATL,"K11","178","353","238.7","33.7","-3"
"240",11,"Brandon McManus",DEN,"K12","202","310","243.2","20.2","-16"
"241",11,"Zack Moss",BUF,"RB69","119","380","236.9","45.3","+74"
"242",11,"Damien Williams",ATL,"RB70","144","321","238.4","38.0","+39"
"243",11,"Trey Sermon",SF,"RB71","144","365","235.8","44.5","+22"
"244",11,"Deshaun Watson",CLE,"QB30","117","358","244.1","61.2","-64"
"245",11,"Jerick McKinnon",KC,"RB72","130","363","244.4","46.5","+1"
"246",11,"Nick Folk",NE,"K13","183","324","240.9","27.5","+1"
"247",11,"Laviska Shenault Jr.",JAC,"WR87","183","370","243.9","33.8","+37"
"248",11,"Arizona Cardinals",ARI,"DST18","201","345","246.7","26.1","+61"
"249",11,"Zay Jones",JAC,"WR88","155","306","249.3","28.8","+33"
"250",11,"Mitch Trubisky",PIT,"QB31","152","355","258.2","42.8","-17"
"251",11,"Robbie Gould",SF,"K14","212","324","249.0","22.0","+28"
"252",11,"Cincinnati Bengals",CIN,"DST19","152","323","254.3","35.9","+40"
"253",11,"Terrace Marshall Jr.",CAR,"WR89","174","361","247.6","31.2","-5"
"254",11,"Tennessee Titans",TEN,"DST20","152","323","253.0","25.1","+9"
"255",11,"Adam Trautman",NO,"TE29","153","354","250.3","41.1","+44"
"256",11,"Mike Davis",BAL,"RB73","144","388","248.0","44.5","-47"
"257",11,"Jake Elliott",PHI,"K15","204","309","252.3","17.9","+45"
"258",12,"Byron Pringle",CHI,"WR90","165","328","249.8","26.1","+33"
"259",12,"Dustin Hopkins",LAC,"K16","183","309","257.5","24.6","-16"
"260",12,"Sammy Watkins",GB,"WR91","157","350","256.3","41.3","-77"
"261",12,"Cameron Brate",TB,"TE30","135","346","243.5","44.3","-36"
"262",12,"Bryan Edwards",ATL,"WR92","194","340","256.2","25.7","+34"
"263",12,"Randall Cobb",GB,"WR93","177","361","260.5","33.7","+30"
"264",12,"Rex Burkhead",HOU,"RB74","132","359","257.2","45.4","+41"
"265",12,"Carolina Panthers",CAR,"DST21","200","355","265.0","26.6","+48"
"266",12,"Wil Lutz",NO,"K17","204","309","270.8","22.7","-25"
"267",12,"Minnesota Vikings",MIN,"DST22","166","347","271.3","27.4","-1"
"268",12,"Eno Benjamin",ARI,"RB75","130","357","252.9","59.9","-31"
"269",12,"Greg Zuerlein",NYJ,"K18","179","353","264.3","40.0","+84"
"270",12,"Braxton Berrios",NYJ,"WR94","206","373","266.8","31.5","+57"
"271",12,"Chris Boswell",PIT,"K19","218","332","273.1","20.8","+60"
"272",12,"Dan Arnold",JAC,"TE31","180","371","267.4","34.2","+90"
"273",12,"C.J. Uzomah",NYJ,"TE32","180","394","270.6","35.3","+7"
"274",12,"Mason Crosby",GB,"K20","224","308","275.3","21.7","+84"
"275",12,"Marquez Callaway",NO,"WR95","184","378","259.2","40.0","+13"
"276",12,"Matt Breida",NYG,"RB76","170","362","264.3","38.6","-19"
"277",12,"Nelson Agholor",NE,"WR96","207","379","270.5","33.6","+71"
"278",12,"Cedrick Wilson Jr.",MIA,"WR97","196","385","271.5","31.4","+8"
"279",12,"William Fuller V",FA,"WR98","160","349","240.1","41.7","-23"
"280",12,"Hassan Haskins",TEN,"RB77","140","352","267.3","49.3","-74"
"281",12,"Chicago Bears",CHI,"DST23","165","347","282.0","36.5","+38"
"282",12,"Washington Commanders",WAS,"DST24","159","340","286.7","34.2","+74"
"283",12,"Greg Joseph",MIN,"K21","189","353","280.6","32.8","-5"
"284",12,"Graham Gano",NYG,"K22","216","332","290.9","21.0","+46"
"285",12,"Joshua Kelley",LAC,"RB78","123","374","274.5","47.1","-55"
"286",12,"Trey McBride",ARI,"TE33","204","381","278.5","31.2","-9"
"287",12,"Myles Gaskin",MIA,"RB79","149","386","268.4","57.1","-52"
"288",12,"Kenyan Drake",FA,"RB80","177","392","255.5","57.4","-66"
"289",12,"Ke'Shawn Vaughn",TB,"RB81","187","362","275.1","30.6","-20"
"290",12,"Jason Myers",SEA,"K23","218","353","290.1","28.2","+91"
"291",12,"Phillip Lindsay",IND,"RB82","186","375","272.6","36.3","-"
"292",12,"Odell Beckham Jr.",FA,"WR99","147","376","258.4","44.6","-82"
"293",12,"O.J. Howard",BUF,"TE34","209","380","281.1","38.0","-"
"294",12,"New York Giants",NYG,"DST25","164","348","298.3","30.5","+26"
"295",12,"Kenny Pickett",PIT,"QB32","167","385","296.9","39.0","-82"
"296",12,"Randy Bullock",TEN,"K24","183","346","297.2","24.6","+70"
"297",12,"Cairo Santos",CHI,"K25","213","350","299.5","26.2","+1"
"298",12,"Seattle Seahawks",SEA,"DST26","159","355","303.4","32.0","-4"
"299",12,"Chris Evans",CIN,"RB83","156","363","275.6","57.8","-44"
"300",12,"New York Jets",NYJ,"DST27","145","355","304.0","34.1","+11"
"301",12,"Josh Reynolds",DET,"WR100","222","379","290.1","31.8","-"
"302",12,"Kyle Rudolph",TB,"TE35","136","371","265.1","44.9","-85"
"303",12,"Quez Watkins",PHI,"WR101","220","369","291.1","25.6","+57"
"304",12,"Drew Lock",SEA,"QB33","197","387","312.4","38.5","-37"
"305",12,"Ka'imi Fairbairn",HOU,"K26","192","353","305.1","27.5","-"
"306",12,"Jacoby Brissett",CLE,"QB34","197","367","286.6","36.5","-53"
"307",12,"Tre'Quan Smith",NO,"WR102","228","386","291.3","37.2","+52"
"308",13,"Darius Slayton",NYG,"WR103","231","378","297.8","32.3","-"
"309",13,"Geno Smith",SEA,"QB35","227","381","295.6","34.0","+27"
"310",13,"Jimmy Garoppolo",SF,"QB36","172","382","311.2","39.7","-78"
"311",13,"Jacksonville Jaguars",JAC,"DST28","140","355","314.7","31.3","-"
"312",13,"Greg Dulcich",DEN,"TE36","159","367","279.3","38.8","-12"
"313",13,"Velus Jones Jr.",CHI,"WR104","193","369","282.6","40.7","-6"
"314",13,"Kyren Williams",LAR,"RB84","149","391","300.0","42.6","-56"
"315",13,"Nick Westbrook-Ikhine",TEN,"WR105","189","372","262.9","40.8","-9"
"316",13,"Daniel Bellinger",NYG,"TE37","163","370","270.5","41.3","-15"
"317",13,"Dyami Brown",WAS,"WR106","247","384","303.0","30.7","+57"
"318",13,"Devin Duvernay",BAL,"WR107","157","348","277.6","38.5","-48"
"319",13,"Tyler Conklin",NYJ,"TE38","180","366","281.6","39.6","+27"
"320",13,"Pierre Strong Jr.",NE,"RB85","217","376","301.3","34.7","-17"
"321",13,"Jalen Reagor",PHI,"WR108","240","391","308.2","29.7","-"
"322",13,"Justin Jackson",DET,"RB86","188","379","293.2","47.1","-"
"323",13,"Dontrell Hilliard",TEN,"RB87","130","364","267.9","62.8","-123"
"324",13,"Ameer Abdullah",LV,"RB88","158","365","265.3","57.6","-52"
"325",13,"Harrison Bryant",CLE,"TE39","209","354","288.8","40.4","-"
"326",13,"Tyler Badie",BAL,"RB89","177","388","282.3","58.3","-43"
"327",13,"Quintez Cephus",DET,"WR109","226","396","307.6","32.8","-"
"328",13,"Emmanuel Sanders",FA,"WR110","205","371","285.5","39.0","+13"
"329",13,"Giovani Bernard",TB,"RB90","227","392","318.5","31.5","+32"
"330",13,"Ty Johnson",NYJ,"RB91","237","385","303.0","31.4","+40"
"331",13,"Darrynton Evans",CHI,"RB92","237","393","311.7","30.5","-"
"332",13,"Isaiah Likely",BAL,"TE40","163","389","284.1","55.8","-90"
"333",13,"Tevin Coleman",NYJ,"RB93","227","375","324.1","26.4","+34"
"334",13,"Salvon Ahmed",MIA,"RB94","217","384","307.3","33.7","-"
"335",13,"Kyle Philips",TEN,"WR111","205","374","289.4","41.5","-"
"336",13,"Tommy Tremble",CAR,"TE41","226","360","297.8","31.7","-"
"337",13,"Duke Johnson Jr.",BUF,"RB95","274","388","323.2","23.8","-9"
"338",13,"Snoop Conner",JAC,"RB96","199","382","306.3","43.3","-"
"339",13,"Desmond Ridder",ATL,"QB37","230","387","330.2","34.9","-89"
"340",13,"Donald Parham Jr.",LAC,"TE42","246","370","302.1","31.9","-"
"341",13,"Chase McLaughlin",FA,"K27","179","339","307.7","30.1","-"
"342",13,"Las Vegas Raiders",LV,"DST29","227","355","309.0","30.8","-68"
"343",13,"Josh Lambo",FA,"K28","171","353","310.7","31.9","-"
"344",13,"Jaylen Warren",PIT,"RB97","148","382","281.4","59.4","-27"
"345",13,"Sam Darnold",CAR,"QB38","248","397","336.5","33.1","+26"
"346",13,"Jerome Ford",CLE,"RB98","257","392","328.6","28.1","-"
"347",13,"Cole Beasley",FA,"WR112","226","380","302.0","30.9","-3"
"348",13,"James Proche II",BAL,"WR113","212","370","302.3","40.6","-"
"349",13,"Jalen Guyton",LAC,"WR114","218","374","304.1","33.3","-37"
"350",13,"Jared Cook",FA,"TE43","232","368","292.3","39.0","+15"
"351",13,"Foster Moreau",LV,"TE44","232","374","314.0","41.1","-"
